"GO","Num","Num_CUB","Num_non","wilcox_greater","wilcox_less"
"GO.0042330_sig.taxis","116","1","115","0.724903388530672","0.285154295095493"
"GO.0042737_sig.drug.catabolic.process","186","2","184","0.175856070309732","0.827538553835374"
"GO.0042775_sig.mitochondrial.ATP.synthesis.coupled.elec...","67","1","66","0.0935391995845931","0.91481369445449"
"GO.0043447_sig.alkane.biosynthetic.process","16","4","12","0.524174615048999","0.524174615048999"
"GO.0044262_sig.cellular.carbohydrate.metabolic.process","205","1","204","0.260328818906331","0.74512771633112"
"GO.0044264_sig.cellular.polysaccharide.metabolic.proces...","182","1","181","0.28071974559291","0.725661637505524"
"GO.0046031_sig.ADP.metabolic.process","193","34","159","5.68422195537694e-15","0.999999999999994"
"GO.0046033_sig.AMP.metabolic.process","201","1","200","0.0431425304066755","0.958413736024516"
"GO.0046112_sig.nucleobase.biosynthetic.process","193","6","187","0.00163436291215727","0.998404403724645"
"GO.0048870_sig.cell.motility","102","2","100","0.689689463168709","0.318882703943223"
"GO.0052803_sig.imidazole.containing.compound.metabolic....","201","2","199","0.171787960525999","0.831307339809891"
"GO.0071616_sig.acyl.CoA.biosynthetic.process","182","4","178","0.000479674603207562","0.999536484447647"
"GO.0071973_sig.bacterial.type.flagellum.dependent.cell....","94","3","91","0.525736895083916","0.482835450127762"
"GO.0072350_sig.tricarboxylic.acid.metabolic.process","152","20","132","6.1946410067521e-05","0.99993941446283"
"GO.0072593_sig.reactive.oxygen.species.metabolic.proces...","184","1","183","0.0579151515808802","0.944234727862314"
"GO.0097588_sig.archaeal.or.bacterial.type.flagellum.dep...","101","2","99","0.691424985949991","0.317212285615016"
"GO.0098656_sig.anion.transmembrane.transport","180","1","179","0.0873506613517402","0.915667060691581"
"GO.1901068_sig.guanosine.containing.compound.metabolic....","201","1","200","0.131240778249405","0.872394703803479"
